GliCLAzide MR TabletOral DM Agents
Metformin HCl TabletOral DM Agents
Metformin HCl XR Extended Release TabletOral DM Agents
"Janumet XR 50/1000 Tablet [Sitagliptin, Metformin XR]Oral DM Agents"
Nateglinide TabletOral DM Agents
LANTUS [Insulin Glargine]  SolostarInsulin
Empagliflozin TabletOral DM Agents
"HumaLOG Mix50/50 KwikPen [Lispro Protamine, Lispro]Insulin"
METFORMIN HCL TABLETOral DM Agents
TOLBUTAMIDE TABLETOral DM Agents
SITAGLIPTIN TABLETOral DM Agents
GLIPIZIDE TABLETOral DM Agents
"NOVOMIX 30 FLEXPEN [ASPART 30%, PROTAMINE ASPART 70%]Insulin"
ACARBOSE TABLETOral DM Agents
LINAGLIPTIN TABLETOral DM Agents
GLICLAZIDE MR TABLETOral DM Agents
METFORMIN HCL XR EXTENDED RELEASE TABLETOral DM Agents
LANTUS [INSULIN GLARGINE]  SOLOSTARInsulin
NOVORAPID [INSULIN ASPART] FLEXPENInsulin
"MIXTARD 30 INJECTION [SOLUBLE 30%, ISOPHANE 70%]Insulin"
CANAGLIFLOZIN TABLETOral DM Agents
LIRAGLUTIDE INJECTIONGLP-1 RA
DAPAGLIFLOZIN TABLETOral DM Agents
EMPAGLIFLOZIN TABLETOral DM Agents
GLICLAZIDE  TABLETOral DM Agents
INSULATARD [INSULIN ISOPHANE] PENFILLInsulin
LEVEMIR [INSULIN DETEMIR] FLEXPENInsulin
APIDRA [INSULIN GLULISINE] SOLOSTARInsulin
"JANUMET XR 50/1000 TABLET [SITAGLIPTIN, METFORMIN XR]Oral DM Agents"
INSULATARD [INSULIN ISOPHANE] INJECTIONInsulin
PIOGLITAZONE TABLETOral DM Agents
"TRAJENTA DUO TABLET [LINAGLIPTIN 2.5MG, METFORMIN 1000MG]Oral DM Agents"
LANTUS [INSULIN GLARGINE] INJECTIONInsulin
ACTRAPID [INSULIN SOLUBLE] INJECTIONInsulin
HUMALOG [INSULIN LISPRO] KWIKPENInsulin
HUMALOG [INSULIN LISPRO] INJECTIONInsulin
GLIMEPIRIDE TABLETOral DM Agents
"MIXTARD 30 PENFILL [SOLUBLE 30%, ISOPHANE 70%]Insulin"
GLIBENCLAMIDE TABLETOral DM Agents
REPAGLINIDE TABLETOral DM Agents
"GALVUS MET 50/1000 TABLET [VILDAGLIPTIN, METFORMIN]Oral DM Agents"
ACTRAPID [INSULIN SOLUBLE] PENFILLInsulin
TOUJEO [INSULIN GLARGINE]  SOLOSTARInsulin
"HUMALOG MIX 25 PENFILL [LISPRO 25%, PROTAMINE LISPRO 75%]Insulin"
VILDAGLIPTIN TABLETOral DM Agents
"TRAJENTA DUO TABLET [LINAGLIPTIN 2.5MG, METFORMIN  500MG]Oral DM Agents"
NOVORAPID [INSULIN ASPART] PENFILLInsulin
"HUMALOG MIX75/25 KWIKPEN [LISPRO PROTAMINE, LISPRO]Insulin"
"HUMALOG MIX50/50 KWIKPEN [LISPRO PROTAMINE, LISPRO]Insulin"
"KOMBIGLYZE XR 5/1000 TABLET [SAXAGLIPTIN, METFORMIN XR]Oral DM Agents"
NATEGLINIDE TABLETOral DM Agents
"KOMBIGLYZE XR 2.5/1000 TABLET [SAXAGLIPTIN, METFORMIN XR]Oral DM Agents"
